CPF,Matrícula,Nome,Email,Curso,Status
531.209.746-25,47787286,Pedro Henrique da Rosa,rodrigo84@lima.br,Minus,Ativo
915.380.264-06,39483341,Larissa Nascimento,carvalholucca@gmail.com,Atque,Inativo
427.605.183-53,46114949,Lorena Monteiro,maria89@melo.com,Quod,Ativo
216.357.409-16,72093023,Isabelly Farias,souzamanuela@hotmail.com,Quis,Ativo
465.273.981-82,80970266,Enrico Duarte,vramos@yahoo.com.br,Voluptas,Ativo
965.073.214-43,38068423,Ryan Carvalho,joao-lucasfarias@ferreira.net,Aliquam,Inativo
401.397.258-14,22093470,Eloah Pereira,maria-alice03@da.com,Necessitatibus,Ativo
493.657.108-39,59975483,Caroline Cardoso,piresenzo-gabriel@moura.com,Sunt,Inativo
120.378.695-68,24159688,Samuel Santos,davi-lucas85@freitas.com,Harum,Ativo
824.913.507-50,45390355,João Gabriel da Cruz,fernanda38@hotmail.com,Ipsa,Inativo
603.952.487-10,48422611,Alícia Campos,maite80@pereira.com,Adipisci,Inativo
730.826.954-00,10787242,Vitória Gomes,maria-claraaragao@hotmail.com,Corporis,Trancado
530.216.498-15,77851355,Luiz Henrique da Luz,tfernandes@barbosa.com,Ullam,Ativo
152.087.963-68,26619736,Alexandre Moreira,jsales@cardoso.br,Odit,Trancado
321.578.064-07,85244441,Pedro Lucas Cardoso,vitor-gabriel81@rodrigues.br,Fugiat,Ativo
428.056.179-67,36010565,João Felipe Gomes,mirella97@da.net,In,Ativo
624.758.390-74,58590346,Alexandre Nascimento,nogueiraryan@hotmail.com,Iure,Inativo
042.613.987-96,17726541,Ana Clara Castro,da-rochacalebe@uol.com.br,Repellendus,Inativo
728.614.503-71,28282966,João Vitor da Cruz,claracorreia@lima.br,Nobis,Ativo
623.791.084-04,13127403,Dra. Luna Monteiro,camposleticia@novaes.net,Facilis,Ativo
906.172.458-94,87031434,Manuela Vieira,da-rosabruno@viana.com,Perferendis,Ativo
524.691.738-09,51219416,Sr. Otávio Cunha,qmartins@nogueira.com,Iste,Inativo
486.923.501-33,19437082,Sarah Moreira,ana-liviacorreia@yahoo.com.br,Autem,Trancado
169.087.352-30,27684076,Benjamin Barros,aliciamoraes@ig.com.br,Cumque,Ativo
932.175.048-79,65469641,Ana Sophia da Mata,moraesmaria-eduarda@ig.com.br,Praesentium,Ativo
591.286.370-03,82691823,Kamilly Pereira,cunhaana-julia@caldeira.br,Possimus,Trancado
065.241.938-06,48446990,Maria Sophia Martins,yasmin16@da.com,Nulla,Ativo
519.273.840-79,21753664,Joaquim Moraes,da-rosamaysa@bol.com.br,Quibusdam,Trancado
869.037.541-48,47862491,Rebeca Fernandes,oliviaazevedo@pereira.br,Perferendis,Ativo
378.465.091-01,44273853,Yasmin Teixeira,vda-rocha@silva.com,Qui,Trancado
941.526.730-52,61352879,Luiz Miguel Azevedo,erickda-cruz@bol.com.br,Perferendis,Inativo
873.609.421-87,65768936,Vitor Hugo Barbosa,kamillycosta@uol.com.br,Corporis,Inativo
468.531.920-60,48966334,Dra. Nicole Farias,brunodias@correia.com,Qui,Inativo
409.851.236-05,97661240,Francisco Aragão,moreirajulia@gmail.com,Facere,Ativo
784.093.561-39,74393879,Srta. Ana Clara Silveira,cmoraes@da.br,Molestias,Ativo
809.432.756-10,64048271,Bárbara Santos,gda-mota@silveira.com,Occaecati,Ativo
538.206.197-12,47009532,Bruno da Costa,alanasouza@uol.com.br,Voluptatem,Inativo
256.139.740-80,35104746,Brenda Monteiro,ana-juliasouza@yahoo.com.br,Saepe,Ativo
813.529.607-02,17581301,Manuela Azevedo,zalves@lima.com,Id,Trancado
875.410.263-44,57887894,Luigi Nascimento,joao-lucassouza@ig.com.br,Magni,Trancado
754.986.032-74,53873532,Ana Clara Ribeiro,thiago98@campos.br,Impedit,Inativo
405.928.176-01,36318157,Sra. Gabrielly das Neves,joao81@uol.com.br,Recusandae,Ativo
045.321.786-90,70602792,Caio Novaes,claracorreia@gmail.com,Architecto,Inativo
740.285.961-49,35802061,Rodrigo da Cunha,marcelojesus@caldeira.com,Iusto,Trancado
621.890.753-86,55922730,Caio da Rosa,wda-cunha@uol.com.br,Perspiciatis,Ativo
586.197.402-02,30272183,Calebe Gomes,laura36@viana.com,Eveniet,Trancado
239.564.870-10,67841555,Milena Ribeiro,nicolasalves@silva.com,Laboriosam,Trancado
791.236.450-16,91726395,Ana Sales,thiago47@moura.br,Praesentium,Trancado
540.182.936-15,39384276,Carolina da Mata,caiocampos@freitas.br,Laboriosam,Trancado
069.478.351-00,82166812,Vinicius da Conceição,da-luznatalia@uol.com.br,Laudantium,Ativo
615.234.098-51,47308341,Sr. Samuel Mendes,nicolas98@uol.com.br,Officia,Inativo
483.761.259-82,96689264,Heloísa Porto,davida-conceicao@rocha.br,Fugiat,Ativo
931.806.425-05,54295373,Sra. Heloísa Costa,faragao@da.com,Reiciendis,Trancado
895.740.136-93,22847171,Marcela Mendes,diasisabel@uol.com.br,Dolore,Inativo
783.590.461-66,88589610,Júlia Viana,rodrigoda-paz@hotmail.com,Atque,Trancado
840.532.917-04,88950530,Ana Beatriz Pires,lda-cunha@gomes.br,Natus,Inativo
930.852.416-98,96964184,Melissa Silveira,silvaagatha@ig.com.br,Tempora,Ativo
164.328.597-19,80375581,Ryan Moreira,alopes@porto.com,Harum,Ativo
021.385.496-15,13432780,Olivia Novaes,ana-sophia45@hotmail.com,Atque,Trancado
082.953.416-42,98867536,Gustavo Farias,ncostela@yahoo.com.br,Praesentium,Trancado
617.350.824-90,74797408,Eloah Peixoto,rauldas-neves@bol.com.br,Sit,Inativo
983.564.012-24,42208411,Leonardo Lopes,mda-rocha@hotmail.com,Quidem,Ativo
726.450.981-85,56346398,Maria Eduarda Cunha,andre31@fogaca.org,Recusandae,Ativo
735.201.948-05,73489733,Luiz Otávio Pereira,rafael10@uol.com.br,Exercitationem,Inativo
416.372.958-55,19830615,Carolina da Mota,souzamaria-julia@ig.com.br,Aut,Trancado
521.978.630-02,31095178,Thales Correia,enzo-gabriel50@nunes.net,Quibusdam,Ativo
096.384.152-15,99362154,Thiago Castro,xrezende@costela.br,Quibusdam,Ativo
785.649.230-92,60369119,Lucca Viana,isales@da.com,Atque,Ativo
104.935.876-75,72567326,Murilo da Conceição,scavalcanti@yahoo.com.br,Beatae,Trancado
074.185.632-80,80192267,Samuel da Rocha,ujesus@campos.net,Assumenda,Trancado
968.723.051-77,23889586,João Vitor Porto,coliveira@farias.org,Dolor,Trancado
574.186.903-39,70400390,Vitor Ferreira,tmoraes@uol.com.br,Soluta,Ativo
163.487.059-00,48189541,Ana Santos,emartins@oliveira.br,Fugiat,Inativo
913.624.857-64,30241217,André Correia,da-cruzmaria-julia@ig.com.br,Saepe,Trancado
405.693.817-20,57156813,Bárbara Freitas,das-nevesjoao-gabriel@das.org,Veniam,Trancado
346.291.587-82,31341589,Isaac Alves,da-costaalexia@da.br,Nam,Inativo
630.894.172-78,30096524,Daniel Viana,antonio87@nascimento.br,Laboriosam,Trancado
806.135.729-12,87850866,Sra. Manuela Cardoso,carlos-eduardo64@hotmail.com,Aliquid,Ativo
640.893.752-74,17047625,Laura Moreira,souzaana-luiza@da.br,Enim,Ativo
592.641.830-51,81169476,Anthony Moreira,da-conceicaolarissa@nascimento.br,Porro,Trancado
420.869.715-67,67151520,Pietro Sales,santospedro-henrique@cardoso.com,In,Trancado
351.809.472-60,55550519,Mariana Dias,biancavieira@uol.com.br,Atque,Ativo
514.378.906-01,18948687,Srta. Larissa Aragão,catarinacorreia@bol.com.br,Ab,Ativo
802.934.561-51,30018243,Ana Lívia da Mata,bsilva@yahoo.com.br,Temporibus,Trancado
924.105.376-34,20939400,Bárbara da Mota,diogo37@hotmail.com,Dolore,Inativo
631.984.072-22,83916917,Srta. Ana da Paz,joana39@silva.net,Culpa,Trancado
130.649.875-93,64471303,Pedro Lucas Ramos,lmoreira@uol.com.br,Quis,Ativo
469.278.305-29,99904272,João Vitor Santos,oliviabarbosa@yahoo.com.br,Sed,Ativo
637.584.290-56,63743992,Dr. Leonardo Almeida,amelo@bol.com.br,Sit,Inativo
218.053.749-23,58541312,Bárbara Pereira,mariana45@yahoo.com.br,Libero,Ativo
379.584.601-39,76625720,Sr. Guilherme Sales,gustavoda-mota@martins.org,Blanditiis,Inativo
381.429.657-55,47902959,Evelyn Rezende,davi-luiz83@ig.com.br,Nostrum,Ativo
132.560.498-42,34906498,Lucas Gabriel da Mata,maria-fernanda04@vieira.br,Soluta,Inativo
825.731.064-62,72165366,Emilly da Mata,tsilva@porto.br,Tenetur,Ativo
584.263.701-44,15162693,Brenda da Mata,larissa15@nogueira.com,Praesentium,Trancado
372.958.641-64,85092403,João Pedro Moura,sofiaazevedo@bol.com.br,Veritatis,Ativo
260.174.953-99,34744524,Maria Julia Pires,araujomarina@correia.com,Nihil,Ativo
107.835.924-50,63411396,Pietro Aragão,sda-mata@yahoo.com.br,Aut,Ativo
546.312.897-91,80291085,Milena Cardoso,costanoah@nogueira.net,A,Inativo
941.286.305-51,88396436,Sra. Ana Júlia Santos,ecardoso@ig.com.br,Perferendis,Ativo
653.498.712-00,60894139,Mariana Duarte,oda-mata@melo.org,Explicabo,Trancado
471.203.869-13,61792896,Isadora Peixoto,castroenzo@yahoo.com.br,Nesciunt,Trancado
735.412.698-55,62742485,Fernanda Viana,alicia79@farias.org,Nam,Ativo
140.827.369-13,59696559,Maria Luiza Silva,sophiacavalcanti@hotmail.com,At,Trancado
798.230.165-77,24518858,Maitê Teixeira,cmendes@alves.br,Eos,Inativo
510.384.796-57,64029905,Dra. Manuela Rezende,lopesrenan@uol.com.br,Dignissimos,Trancado
256.187.934-82,76547771,Ian Barros,pedro-miguel80@gmail.com,Quo,Inativo
268.913.075-03,90740685,Lara Porto,ana-laura97@duarte.br,Veniam,Trancado
564.123.809-06,46001772,Dr. Davi Lucas Monteiro,cauepinto@bol.com.br,Porro,Inativo
287.493.610-31,93247216,Maria Luiza Moura,gabrielly83@rocha.br,Alias,Ativo
635.840.912-33,68588254,Pietro Pinto,urezende@gmail.com,Accusantium,Trancado
143.792.685-19,52339503,Bruno da Luz,oferreira@das.net,Nesciunt,Inativo
012.637.495-34,90572892,Yago Alves,da-matathiago@da.org,Veniam,Ativo
407.268.193-87,78481153,Lara Jesus,araujocaue@uol.com.br,Nihil,Ativo
159.780.342-14,34196988,Nina Farias,goncalvesotavio@hotmail.com,Voluptatum,Trancado
450.731.896-39,87285479,Nina Cavalcanti,da-pazmarcos-vinicius@cavalcanti.com,Vitae,Ativo
586.742.093-00,24250466,Anthony da Costa,davi-luizda-cunha@moreira.org,Nesciunt,Ativo
395.184.026-98,15532778,Mariane Peixoto,nuneslucas@peixoto.net,Ipsa,Ativo
621.850.943-51,60998654,Pedro Lucas Monteiro,pedro-henriqueferreira@uol.com.br,Deserunt,Inativo
601.837.452-80,62820329,Maria Clara Silva,leonardopires@da.com,Rem,Ativo
567.924.018-11,54282923,Bianca da Costa,joao-miguelnogueira@yahoo.com.br,Id,Trancado
264.583.790-56,76458694,Sr. Henrique Silva,souzamanuela@bol.com.br,Deserunt,Trancado
352.067.814-44,56402945,Otávio Lima,imartins@cardoso.br,Beatae,Trancado
390.421.856-51,50169158,Stephany Teixeira,fda-costa@yahoo.com.br,Eius,Trancado
241.385.679-09,83438487,Emanuel Silva,franciscoda-paz@uol.com.br,Qui,Inativo
625.130.489-89,90913263,João Felipe da Mota,isaac58@gmail.com,Neque,Ativo
691.234.870-03,89341712,Isis da Luz,souzaluiz-fernando@rezende.com,Magni,Inativo
617.085.923-77,45266252,Dr. Gustavo Dias,rfogaca@costa.br,Officiis,Trancado
705.491.836-39,87558473,João Guilherme Dias,gmonteiro@gmail.com,Laudantium,Ativo
265.739.810-30,74013724,Dra. Gabrielly da Mota,lmonteiro@uol.com.br,A,Ativo
452.730.169-16,33836039,Beatriz Costa,da-cunhamaria-alice@das.com,A,Trancado
392.715.840-23,96917863,Gabriela Azevedo,da-motamatheus@ig.com.br,Accusantium,Inativo
483.567.029-92,83007600,Danilo Ramos,caio97@barbosa.com,Dolorem,Ativo
026.391.785-12,37475581,Leandro Rocha,sgomes@pires.br,Dolores,Trancado
290.637.145-99,15002100,Dr. Marcos Vinicius Silva,miguelnogueira@uol.com.br,Porro,Ativo
274.501.936-80,75898701,Rafael Ramos,davi41@hotmail.com,Sequi,Inativo
279.516.408-67,97526133,Ana Clara Fogaça,usilveira@costa.org,Magni,Inativo
960.538.142-70,49226772,Sr. Isaac Rezende,fdas-neves@da.br,Aliquid,Ativo
670.342.819-04,83605134,Breno Jesus,ufreitas@bol.com.br,Fugit,Inativo
213.067.458-53,88696472,Maria Sophia Lima,leandro64@dias.br,Illo,Ativo
290.473.861-40,12138536,Francisco Moreira,thalesda-paz@hotmail.com,Recusandae,Trancado
287.953.140-32,58684889,Beatriz Dias,goncalveserick@bol.com.br,Distinctio,Inativo
570.134.296-43,72552324,Felipe Santos,vmartins@alves.com,Asperiores,Inativo
632.984.105-51,59188583,Pedro Miguel Pires,costacatarina@hotmail.com,Quibusdam,Inativo
842.593.701-97,12017249,Agatha da Mota,vsouza@da.org,Exercitationem,Trancado
214.689.053-33,94288047,Maitê Pinto,xcorreia@uol.com.br,Iusto,Inativo
471.253.609-80,16682524,Benício Duarte,barrosluigi@ig.com.br,Iusto,Ativo
547.986.312-64,14971876,Dr. Ian Lima,pcunha@gmail.com,Necessitatibus,Ativo
753.910.486-48,49332338,Enzo Gabriel Rodrigues,vcardoso@hotmail.com,Perferendis,Ativo
641.930.725-25,64684033,Natália Duarte,portomaysa@araujo.com,Deserunt,Inativo
759.042.813-23,34499353,Ana Beatriz Castro,wnascimento@castro.org,Repudiandae,Inativo
328.409.761-96,23643744,Murilo Fernandes,nathan43@ig.com.br,Eaque,Ativo
564.718.290-94,57044385,Gabriela Araújo,stellaaraujo@pinto.org,Omnis,Ativo
942.153.760-25,69920628,Arthur Oliveira,rribeiro@ig.com.br,Molestias,Trancado
418.762.093-13,15537856,Luiz Gustavo Sales,isaac13@da.org,Unde,Trancado
843.096.175-57,69756227,Davi Ramos,teixeirajoana@fernandes.org,Laborum,Trancado
038.251.694-05,43523083,Luiz Gustavo da Mota,benicioribeiro@uol.com.br,Accusantium,Inativo
934.182.567-91,85805069,Vicente Sales,moreirafelipe@ig.com.br,Incidunt,Ativo
231.790.458-41,77179052,Pietra Cardoso,tcardoso@yahoo.com.br,Dicta,Trancado
394.510.627-34,60841963,Valentina Cardoso,pietro35@hotmail.com,Possimus,Ativo
970.524.861-30,35493052,Alícia Monteiro,taragao@gmail.com,Natus,Trancado
261.879.345-55,44207593,Maria Eduarda Costa,natalia75@uol.com.br,Nobis,Trancado
376.415.892-19,47647814,Caroline da Luz,nunesluigi@ig.com.br,Aspernatur,Inativo
643.921.078-50,31925997,Rodrigo Silveira,lopesmaria-alice@ig.com.br,Laborum,Trancado
620.573.981-02,63635975,Gabriel Nascimento,valentina87@uol.com.br,Ipsam,Trancado
251.947.806-30,59802408,Alexia da Rosa,vieiraenzo@gmail.com,Dolorum,Ativo
421.693.580-05,50328829,Theo Vieira,marcos-vinicius70@yahoo.com.br,Quisquam,Inativo
827.590.634-29,66510396,Bernardo Nascimento,ucostela@bol.com.br,Sequi,Trancado
108.693.542-05,52152179,Raul Cavalcanti,heloisa33@moreira.com,Accusantium,Inativo
378.190.256-03,49472026,Pedro Lucas Campos,vdias@ig.com.br,Perspiciatis,Ativo
561.843.279-09,43829381,Marcos Vinicius Teixeira,barbosasabrina@nascimento.com,Id,Ativo
679.581.234-00,95759876,Maysa Novaes,leticiaazevedo@costa.br,Error,Trancado
352.167.980-21,57188743,Luiz Felipe Cunha,sabrinacunha@da.org,Possimus,Ativo
930.425.187-79,35997927,Alexandre Porto,kamillycostela@uol.com.br,Eveniet,Trancado
290.756.381-59,84116483,João Gabriel Farias,lorenzo05@nunes.com,Hic,Inativo
580.314.962-42,16551370,Danilo Moura,livia80@uol.com.br,Beatae,Inativo
083.215.769-40,70647571,Eduardo Almeida,ceciliada-paz@da.com,Dolorem,Trancado
768.493.102-40,52321866,Catarina da Luz,salesbryan@gomes.com,Vel,Trancado
408.765.291-20,67094819,Esther da Rosa,fernandanascimento@yahoo.com.br,Commodi,Inativo
854.306.792-83,83872171,Sra. Gabrielly Azevedo,qmendes@barbosa.net,Est,Inativo
762.315.480-07,82034310,Laís Fogaça,uda-cunha@yahoo.com.br,Praesentium,Trancado
521.694.708-67,11249442,Lara Teixeira,erickmelo@hotmail.com,Doloribus,Inativo
584.391.762-28,68559353,Paulo Castro,nathanrezende@hotmail.com,Accusantium,Inativo
157.936.042-43,51278250,Thales da Rocha,noahjesus@farias.org,Dolore,Inativo
206.197.835-59,78168768,Renan Melo,livia39@uol.com.br,Laudantium,Ativo
645.182.370-80,66432987,Eduardo Araújo,isis73@nunes.com,Delectus,Inativo
903.786.124-50,83956338,Sophia Viana,rsilveira@yahoo.com.br,Perferendis,Ativo
236.840.597-65,47168538,Maria Luiza Lima,pedro-lucas63@almeida.br,Odit,Ativo
359.207.618-30,54407542,Luiz Gustavo Santos,srodrigues@freitas.com,Alias,Inativo
537.984.260-74,54901843,Dra. Alice Monteiro,maria-sophia61@lopes.br,Eius,Inativo
485.392.601-15,87325889,Luigi Campos,martinsmaria@gmail.com,Minus,Trancado
219.374.805-50,86755719,Marcos Vinicius Caldeira,caiomoreira@bol.com.br,Provident,Inativo
489.370.562-83,77561334,João Vitor Farias,pmoraes@gmail.com,Distinctio,Inativo
501.789.642-20,41323373,Dr. Theo Porto,davibarbosa@yahoo.com.br,Qui,Inativo
378.210.965-12,45115058,Breno Araújo,cardosoenzo@yahoo.com.br,Nostrum,Trancado
910.423.765-06,12446893,Lorenzo Farias,melissa16@bol.com.br,Facere,Ativo
652.980.437-47,70777848,Yasmin Souza,anabarbosa@ig.com.br,Esse,Trancado
